imsi,cellId,rnti,attachStartMs,rrcSetupCompleteMs,initialUeMessageMs,authRequestMs,authResponseMs,securityModeCommandNasMs,securityModeCompleteNasMs,initialContextSetupRequestMs,securityModeCommandAsMs,securityModeCompleteAsMs,ueCapabilityEnquiryMs,ueCapabilityInformationMs,initialContextSetupResponseMs,registrationAcceptMs,registrationCompleteMs,pduSessionEstablishmentRequestMs,pduSessionResourceSetupRequestMs,rrcReconfigurationDrbMs,rrcReconfigurationCompleteMs,pduSessionResourceSetupResponseMs,dataReadyMs,rrcSetupLatencyMs,firstDataPacketTimeMs,attachToFirstDataPacketLatencyMs,coreSignalingLatencyMs,totalAttachToDataLatencyMs
1,1,1,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,668.779,668.779,1.8,19.8357
2,1,2,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,668.743,668.743,1.8,19.8357
3,1,3,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,668.707,668.707,1.8,19.8357
4,1,4,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,668.671,668.671,1.8,19.8357
5,1,5,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,438.993,438.993,1.8,19.8357
6,1,6,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,438.814,438.814,1.8,19.8357
7,1,7,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,441.993,441.993,1.8,19.8357
8,1,8,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,441.814,441.814,1.8,19.8357
9,1,9,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,415.921,415.921,1.8,19.8357
10,1,10,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,422.921,422.921,1.8,19.8357
