ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.4703,0.0,111,27.74774774774775,14522,0.00123417,14300,0.00159571,92,14080,14080,110,110,0,1.5996545454545454
1,2,mMTC,3000,100,2,63.6267,0.0,111,27.74774774774775,14522,0.00130173,14300,0.001667,93,14080,14080,110,110,0,1.6710818181818181
2,3,mMTC,3000,100,3,64.1317,0.0,111,27.74774774774775,14522,0.00137316,14300,0.00173829,94,14080,14080,110,110,0,1.7425090909090908
3,4,mMTC,3000,100,4,63.7293,0.0,111,27.74774774774775,14522,0.00144459,14300,0.00180958,95,14080,14080,110,110,0,1.8139363636363635
4,5,mMTC,3000,100,5,63.9376,0.0,111,27.74774774774775,14522,0.0014803,14300,0.00184516,96,14080,14080,110,110,0,1.8496545454545454
5,6,mMTC,3000,100,6,63.7606,0.0,111,27.74774774774775,14522,0.00151602,14300,0.00188074,97,14080,14080,110,110,0,1.8853636363636366
6,7,mMTC,3000,100,7,63.6358,0.0,112,27.5,14524,0.00145076,14300,0.00414164,98,14080,14080,110,110,0,4.146409090909091
7,8,mMTC,3000,100,8,63.83140000000001,0.0,111,27.74774774774775,14522,0.00155173,14300,0.00191131,99,14080,14080,110,110,0,1.9162090909090908
8,9,mMTC,3000,100,9,63.6977,0.0,112,27.5,14524,0.00148105,14300,0.0040076,100,14080,14080,110,110,0,4.012636363636363
9,10,mMTC,3000,100,10,63.7579,0.0,112,27.5,14524,0.00151677,14300,0.00404318,101,14080,14080,110,110,0,4.048354545454545
10,11,mMTC,3000,100,11,63.9882,0.0,112,27.5,14524,0.00155248,14300,0.00407876,102,14080,14080,110,110,0,4.084063636363636
11,12,mMTC,3000,100,290,63.6021,0.0,111,27.74774774774775,14522,0.00129594,14300,0.00182083,103,14080,14080,110,110,0,1.8262818181818181
12,13,mMTC,3000,100,291,64.0332,0.0,111,27.74774774774775,14522,0.00153629,14300,0.00239537,104,14080,14080,110,110,0,2.4009545454545456
13,14,mMTC,3000,100,292,63.9462,0.0,111,27.74774774774775,14522,0.00150444,14300,0.00236796,105,14080,14080,110,110,0,2.3736818181818182
14,15,mMTC,3000,100,293,64.0069,0.0,111,27.74774774774775,14522,0.00146872,14300,0.00233211,106,14080,14080,110,110,0,2.3379636363636362
15,16,mMTC,3000,100,294,63.5421,0.0,111,27.74774774774775,14522,0.00143301,14300,0.00229626,107,14080,14080,110,110,0,2.3022545454545456
16,17,mMTC,3000,100,295,63.415,0.0,111,27.74774774774775,14522,0.00139729,14300,0.00226041,108,14080,14080,110,110,0,2.2665363636363636
17,18,mMTC,3000,100,296,63.8885,0.0,111,27.74774774774775,14522,0.00136158,14300,0.00222456,109,14080,14080,110,110,0,2.2308181818181816
18,19,mMTC,3000,100,297,63.7324,0.0,111,27.74774774774775,14522,0.00132587,14300,0.00218871,110,14080,14080,110,110,0,2.195109090909091
19,20,mMTC,3000,100,298,64.051,0.0,111,27.74774774774775,14522,0.00129015,14300,0.00215286,111,14080,14080,110,110,0,2.1593909090909094
20,21,mMTC,3000,100,299,63.8462,0.0,111,27.74774774774775,14522,0.0012583,14300,0.00211701,112,14080,14080,110,110,0,2.1236818181818182
21,22,mMTC,3000,100,300,63.8979,0.0,111,27.74774774774775,14522,0.00122258,14300,0.00208116,113,14080,14080,110,110,0,2.0879636363636367
22,23,mMTC,3000,100,301,64.0655,0.0,111,27.74774774774775,14522,0.00125058,14300,0.00219141,114,14080,14080,110,110,0,2.1983545454545452
23,24,mMTC,3000,100,534,64.0302,0.0,111,27.74774774774775,14522,0.00134807,14300,0.00245362,115,14080,14080,110,110,0,2.4606909090909093
24,25,mMTC,3000,100,535,63.358,0.0,111,27.74774774774775,14522,0.00152471,14300,0.00288205,116,14080,14080,110,110,0,2.889263636363636
25,26,mMTC,3000,100,536,63.7811,0.0,111,27.74774774774775,14522,0.00149285,14300,0.00285464,117,14080,14080,110,110,0,2.8619909090909093
26,27,mMTC,3000,100,537,63.6197,0.0,111,27.74774774774775,14522,0.00145714,14300,0.00281879,118,14080,14080,110,110,0,2.8262727272727273
27,28,mMTC,3000,100,538,63.7071,0.0,111,27.74774774774775,14522,0.00142142,14300,0.00278294,119,14080,14080,110,110,0,2.790563636363636
28,29,mMTC,3000,100,539,63.529,0.0,111,27.74774774774775,14522,0.00138571,14300,0.00274709,120,14080,14080,110,110,0,2.7548454545454546
29,30,mMTC,3000,100,540,63.5418,0.0,111,27.74774774774775,14522,0.00135,14300,0.00271124,121,14080,14080,110,110,0,2.719136363636364
30,31,mMTC,3000,100,541,63.9244,0.0,111,27.74774774774775,14522,0.00131428,14300,0.00267539,122,14080,14080,110,110,0,2.6834181818181815
31,32,mMTC,3000,100,542,63.9243,0.0,111,27.74774774774775,14522,0.00119845,14300,0.00155578,123,14080,14080,110,110,0,1.5639363636363635
32,33,mMTC,3000,100,543,64.1605,0.0,111,27.74774774774775,14522,0.00126988,14300,0.00162707,124,14080,14080,110,110,0,1.6353727272727272
33,34,mMTC,3000,100,544,63.69180000000001,0.0,111,27.74774774774775,14522,0.00133745,14300,0.00169836,125,14080,14080,110,110,0,1.7068
34,35,mMTC,3000,100,545,63.80819999999999,0.0,111,27.74774774774775,14522,0.00140888,14300,0.00176965,126,14080,14080,110,110,0,1.7782272727272728
35,36,mMTC,3000,100,639,63.6584,0.0,111,27.74774774774775,14522,0.00127857,14300,0.002639,127,14080,14080,110,110,0,2.647709090909091
36,37,mMTC,3000,100,640,63.9177,0.0,111,27.74774774774775,14522,0.00124639,14300,0.00260315,128,14080,14080,110,110,0,2.6119909090909093
37,38,mMTC,3000,100,641,63.697300000000006,0.0,111,27.74774774774775,14522,0.0013323,14300,0.00285366,129,14080,14080,110,110,0,2.8626454545454547
38,39,mMTC,3000,100,642,64.1699,0.0,111,27.74774774774775,14522,0.00124446,14300,0.00268339,130,14080,14080,110,110,0,2.6925090909090907
39,40,mMTC,3000,100,643,63.8737,0.0,111,27.74774774774775,14522,0.00133616,14300,0.00293975,131,14080,14080,110,110,0,2.9490090909090907
40,41,mMTC,3000,100,644,63.76570000000001,0.0,111,27.74774774774775,14522,0.00150701,14300,0.00336234,132,14080,14080,110,110,0,3.371727272727273
41,42,mMTC,3000,100,645,63.9702,0.0,111,27.74774774774775,14522,0.00147516,14300,0.00333493,133,14080,14080,110,110,0,3.3444545454545453
42,43,mMTC,3000,100,646,63.7813,0.0,111,27.74774774774775,14522,0.00143944,14300,0.00329908,134,14080,14080,110,110,0,3.3087454545454547
43,44,mMTC,3000,100,647,64.012,0.0,111,27.74774774774775,14522,0.00140373,14300,0.00326323,135,14080,14080,110,110,0,3.273027272727273
44,45,mMTC,3000,100,648,63.582800000000006,0.0,111,27.74774774774775,14522,0.00136801,14300,0.00322738,136,14080,14080,110,110,0,3.2373181818181815
45,46,mMTC,3000,100,649,64.0222,0.0,111,27.74774774774775,14522,0.0013323,14300,0.00319153,137,14080,14080,110,110,0,3.2016
46,47,mMTC,3000,100,814,63.82730000000001,0.0,111,27.74774774774775,14522,0.00129659,14300,0.00315568,138,14080,14080,110,110,0,3.1658909090909093
47,48,mMTC,3000,100,815,64.1906,0.0,111,27.74774774774775,14522,0.00126473,14300,0.00311983,139,14080,14080,110,110,0,3.130172727272727
48,49,mMTC,3000,100,816,63.4072,0.0,111,27.74774774774775,14522,0.00129273,14300,0.00323009,140,14080,14080,110,110,0,3.2405636363636363
49,50,mMTC,3000,100,817,63.8448,0.0,111,27.74774774774775,14522,0.00132072,14300,0.00334034,141,14080,14080,110,110,0,3.3509545454545453
50,51,mMTC,3000,100,818,63.5542,0.0,111,27.74774774774775,14522,0.001285,14300,0.00330449,142,14080,14080,110,110,0,3.3152363636363638
51,52,mMTC,3000,100,819,63.9147,0.0,111,27.74774774774775,14522,0.00143687,14300,0.00378974,143,14080,14080,110,110,0,3.8006272727272727
52,53,mMTC,3000,100,820,64.1792,0.0,111,27.74774774774775,14522,0.00132973,14300,0.00351363,144,14080,14080,110,110,0,3.5246545454545455
53,54,mMTC,3000,100,821,63.8628,0.0,111,27.74774774774775,14522,0.0013796,14300,0.00373687,145,14080,14080,110,110,0,3.7480272727272728
54,55,mMTC,3000,100,822,63.8365,0.0,111,27.74774774774775,14522,0.00134388,14300,0.00370102,146,14080,14080,110,110,0,3.7123181818181816
55,56,mMTC,3000,100,823,63.6805,0.0,111,27.74774774774775,14522,0.00130817,14300,0.00366517,147,14080,14080,110,110,0,3.6766
56,57,mMTC,3000,100,824,63.8683,0.0,111,27.74774774774775,14522,0.00127246,14300,0.00362932,148,14080,14080,110,110,0,3.640890909090909
57,58,mMTC,3000,100,884,63.5513,0.0,111,27.74774774774775,14522,0.00123674,14300,0.00359347,149,14080,14080,110,110,0,3.605172727272727
58,59,mMTC,3000,100,885,63.493,0.0,111,27.74774774774775,14522,0.00123803,14300,0.00367451,150,14080,14080,110,110,0,3.6863454545454544
59,60,mMTC,3000,100,886,63.6124,0.0,111,27.74774774774775,14522,0.00117143,14300,0.00352762,151,14080,14080,110,110,0,3.5395909090909092
60,61,Web,133000,600,887,63.9258,0.0,823,27.897934386391253,518246,0.00155295,516600,0.00184953,46,514960,514960,820,820,0,1.8509878048780488
61,62,Web,133000,600,888,63.8923,0.0,823,27.897934386391253,518246,0.00151741,516600,0.00181772,47,514960,514960,820,820,0,1.819719512195122
62,63,Web,133000,600,889,63.8664,0.0,823,27.897934386391253,518246,0.0014817,516600,0.00178147,48,514960,514960,820,820,0,1.784
63,64,Web,133000,600,890,64.1153,0.0,823,27.897934386391253,518246,0.00144599,516600,0.00174522,49,514960,514960,820,820,0,1.748280487804878
