ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.4703,0.0,111,27.74774774774775,14522,0.00148224,14300,0.00286421,92,14080,14080,110,110,0,2.868163636363636
1,2,mMTC,3000,100,2,63.6267,0.0,111,27.74774774774775,14522,0.0014639,14300,0.00285758,93,14080,14080,110,110,0,2.861663636363636
2,3,mMTC,3000,100,3,64.1317,0.0,111,27.74774774774775,14522,0.00149671,14300,0.00291264,94,14080,14080,110,110,0,2.916863636363636
3,4,mMTC,3000,100,4,63.7293,0.0,111,27.74774774774775,14522,0.00148835,14300,0.00288068,95,14080,14080,110,110,0,2.8850454545454545
4,5,mMTC,3000,100,5,63.9376,0.0,111,27.74774774774775,14522,0.00151505,14300,0.00292081,96,14080,14080,110,110,0,2.9253
5,6,mMTC,3000,100,6,63.7606,0.0,111,27.74774774774775,14522,0.0015157,14300,0.00292554,97,14080,14080,110,110,0,2.930172727272727
6,7,mMTC,3000,100,7,63.6358,0.0,111,27.74774774774775,14522,0.0015128,14300,0.00291761,98,14080,14080,110,110,0,2.9223818181818184
7,8,mMTC,3000,100,8,63.83140000000001,0.0,111,27.74774774774775,14522,0.00152245,14300,0.00293598,99,14080,14080,110,110,0,2.9408818181818184
8,9,mMTC,3000,100,9,63.6977,0.0,111,27.74774774774775,14522,0.00153983,14300,0.00293942,100,14080,14080,110,110,0,2.9444545454545454
9,10,mMTC,3000,100,10,63.7579,0.0,111,27.74774774774775,14522,0.00154498,14300,0.00295325,101,14080,14080,110,110,0,2.958418181818182
10,11,mMTC,3000,100,11,63.9882,0.0,111,27.74774774774775,14522,0.00155463,14300,0.00294467,102,14080,14080,110,110,0,2.949972727272727
11,12,mMTC,3000,100,290,63.6021,0.0,111,27.74774774774775,14522,0.00145971,14300,0.00284973,103,14080,14080,110,110,0,2.855172727272727
12,13,mMTC,3000,100,291,64.0332,0.0,111,27.74774774774775,14522,0.00144781,14300,0.0028379,104,14080,14080,110,110,0,2.8434818181818184
13,14,mMTC,3000,100,292,63.9462,0.0,111,27.74774774774775,14522,0.00143397,14300,0.00285595,105,14080,14080,110,110,0,2.861663636363636
14,15,mMTC,3000,100,293,64.0069,0.0,111,27.74774774774775,14522,0.00143783,14300,0.00282822,106,14080,14080,110,110,0,2.834072727272727
15,16,mMTC,3000,100,294,63.5421,0.0,111,27.74774774774775,14522,0.00142979,14300,0.00282483,107,14080,14080,110,110,0,2.8308181818181817
16,17,mMTC,3000,100,295,63.415,0.0,111,27.74774774774775,14522,0.00140759,14300,0.00278444,108,14080,14080,110,110,0,2.790563636363636
17,18,mMTC,3000,100,296,63.8885,0.0,111,27.74774774774775,14522,0.00141596,14300,0.00281579,109,14080,14080,110,110,0,2.8220545454545456
18,19,mMTC,3000,100,297,63.7324,0.0,111,27.74774774774775,14522,0.00139665,14300,0.00281014,110,14080,14080,110,110,0,2.816536363636364
19,20,mMTC,3000,100,298,64.051,0.0,111,27.74774774774775,14522,0.00140437,14300,0.00279539,111,14080,14080,110,110,0,2.801927272727273
20,21,mMTC,3000,100,299,63.8462,0.0,111,27.74774774774775,14522,0.00139794,14300,0.00279428,112,14080,14080,110,110,0,2.8009545454545455
21,22,mMTC,3000,100,300,63.8979,0.0,111,27.74774774774775,14522,0.00141274,14300,0.00280032,113,14080,14080,110,110,0,2.807118181818182
22,23,mMTC,3000,100,301,64.0655,0.0,111,27.74774774774775,14522,0.00139858,14300,0.00279531,114,14080,14080,110,110,0,2.8022545454545456
23,24,mMTC,3000,100,534,64.0302,0.0,111,27.74774774774775,14522,0.00139311,14300,0.00279452,115,14080,14080,110,110,0,2.8016
24,25,mMTC,3000,100,535,63.358,0.0,111,27.74774774774775,14522,0.00137477,14300,0.00276257,116,14080,14080,110,110,0,2.7697818181818183
25,26,mMTC,3000,100,536,63.7811,0.0,111,27.74774774774775,14522,0.00136608,14300,0.00276308,117,14080,14080,110,110,0,2.770436363636364
26,27,mMTC,3000,100,537,63.6197,0.0,111,27.74774774774775,14522,0.00136061,14300,0.00274412,118,14080,14080,110,110,0,2.7516
27,28,mMTC,3000,100,538,63.7071,0.0,111,27.74774774774775,14522,0.00134774,14300,0.0027495,119,14080,14080,110,110,0,2.7571181818181816
28,29,mMTC,3000,100,539,63.529,0.0,111,27.74774774774775,14522,0.00131428,14300,0.00270229,120,14080,14080,110,110,0,2.7100454545454546
29,30,mMTC,3000,100,540,63.5418,0.0,111,27.74774774774775,14522,0.00134774,14300,0.00274533,121,14080,14080,110,110,0,2.753227272727273
30,31,mMTC,3000,100,541,63.9244,0.0,111,27.74774774774775,14522,0.00133198,14300,0.0027387,122,14080,14080,110,110,0,2.746736363636364
31,32,mMTC,3000,100,542,63.9243,0.0,111,27.74774774774775,14522,0.00147419,14300,0.00286584,123,14080,14080,110,110,0,2.874
32,33,mMTC,3000,100,543,64.1605,0.0,112,27.5,14524,0.00147531,14300,0.00289622,124,14080,14080,110,110,0,2.904527272727273
33,34,mMTC,3000,100,544,63.69180000000001,0.0,111,27.74774774774775,14522,0.00148159,14300,0.00287985,125,14080,14080,110,110,0,2.8882909090909092
34,35,mMTC,3000,100,545,63.80819999999999,0.0,111,27.74774774774775,14522,0.00148352,14300,0.00288101,126,14080,14080,110,110,0,2.8895909090909093
