imsi,cellId,rnti,attachStartMs,rrcSetupCompleteMs,initialUeMessageMs,authRequestMs,authResponseMs,securityModeCommandNasMs,securityModeCompleteNasMs,initialContextSetupRequestMs,securityModeCommandAsMs,securityModeCompleteAsMs,ueCapabilityEnquiryMs,ueCapabilityInformationMs,initialContextSetupResponseMs,registrationAcceptMs,registrationCompleteMs,pduSessionEstablishmentRequestMs,pduSessionResourceSetupRequestMs,rrcReconfigurationDrbMs,rrcReconfigurationCompleteMs,pduSessionResourceSetupResponseMs,dataReadyMs,rrcSetupLatencyMs,firstDataPacketTimeMs,attachToFirstDataPacketLatencyMs,coreSignalingLatencyMs,totalAttachToDataLatencyMs
1,1,1,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.886,672.886,1.8,19.8357
2,1,2,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.921,672.921,1.8,19.8357
3,1,3,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.957,672.957,1.8,19.8357
4,1,4,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.993,672.993,1.8,19.8357
5,1,5,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,673.029,673.029,1.8,19.8357
6,1,6,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,673.064,673.064,1.8,19.8357
7,1,7,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.314,672.314,1.8,19.8357
8,1,8,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.35,672.35,1.8,19.8357
9,1,9,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.386,672.386,1.8,19.8357
10,1,10,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.421,672.421,1.8,19.8357
11,1,11,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.457,672.457,1.8,19.8357
12,1,12,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.493,672.493,1.8,19.8357
13,1,101,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,672.85,672.85,1.8,23.8357
14,1,102,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,672.814,672.814,1.8,23.8357
15,1,103,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,672.779,672.779,1.8,23.8357
16,1,104,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,672.743,672.743,1.8,23.8357
17,1,105,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,672.707,672.707,1.8,23.8357
18,1,106,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,672.671,672.671,1.8,23.8357
19,1,107,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,673.564,673.564,1.8,23.8357
20,1,108,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,673.529,673.529,1.8,23.8357
21,1,109,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,673.493,673.493,1.8,23.8357
22,1,110,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,673.457,673.457,1.8,23.8357
23,1,111,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,673.421,673.421,1.8,23.8357
24,1,112,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,673.386,673.386,1.8,23.8357
25,1,198,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,672.529,672.529,1.8,28.3357
26,1,199,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,672.564,672.564,1.8,28.3357
92,1,189,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,424.957,424.957,1.8,28.3357
93,1,190,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,424.993,424.993,1.8,28.3357
94,1,191,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,425.029,425.029,1.8,28.3357
95,1,192,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,425.064,425.064,1.8,28.3357
96,1,193,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,428.171,428.171,1.8,28.3357
97,1,194,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,428.207,428.207,1.8,28.3357
98,1,195,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,427.386,427.386,1.8,28.3357
99,1,196,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,427.457,427.457,1.8,28.3357
100,1,197,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,427.564,427.564,1.8,28.3357
27,1,265,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.35,673.35,1.8,32.8357
28,1,266,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.314,673.314,1.8,32.8357
29,1,267,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.279,673.279,1.8,32.8357
30,1,268,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.243,673.243,1.8,32.8357
31,1,269,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.207,673.207,1.8,32.8357
32,1,270,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.921,673.921,1.8,32.8357
33,1,271,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.171,673.171,1.8,32.8357
34,1,272,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.886,673.886,1.8,32.8357
35,1,273,0,31.0357,31.1357,31.2357,31.3357,31.4357,31.5357,31.6357,31.7357,31.8357,31.9357,32.0357,32.1357,32.2357,32.3357,32.4357,32.5357,32.6357,32.7357,32.8357,32.8357,31.0357,673.85,673.85,1.8,32.8357
