ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.4703,0.0,112,27.5,14524,0.00150082,14300,0.00236855,62,14080,14080,110,110,0,2.371409090909091
1,2,mMTC,3000,100,2,63.62669999999999,0.0,112,27.5,14524,0.00153654,14300,0.00240413,63,14080,14080,110,110,0,2.4071181818181815
2,3,mMTC,3000,100,3,64.1317,0.0,112,27.5,14524,0.00129292,14300,0.00183191,64,14080,14080,110,110,0,1.8350454545454546
3,4,mMTC,3000,100,4,63.7293,0.0,112,27.5,14524,0.00119885,14300,0.00156717,65,14080,14080,110,110,0,1.5704363636363636
4,5,mMTC,3000,100,5,63.93760000000001,0.0,112,27.5,14524,0.00123456,14300,0.00160275,66,14080,14080,110,110,0,1.6061454545454545
5,6,mMTC,3000,100,6,63.7606,0.0,112,27.5,14524,0.00127028,14300,0.00163832,67,14080,14080,110,110,0,1.6418636363636365
6,7,mMTC,3000,100,7,63.6358,0.0,112,27.5,14524,0.00130344,14300,0.00166676,68,14080,14080,110,110,0,1.6704363636363635
7,8,mMTC,3000,100,8,63.831399999999995,0.0,112,27.5,14524,0.00133916,14300,0.00170234,69,14080,14080,110,110,0,1.7061454545454546
8,9,mMTC,3000,100,9,63.6977,0.0,112,27.5,14524,0.00137487,14300,0.00173791,70,14080,14080,110,110,0,1.7418636363636364
9,10,mMTC,3000,100,10,63.7579,0.0,112,27.5,14524,0.00141058,14300,0.00177349,71,14080,14080,110,110,0,1.7775727272727273
10,11,mMTC,3000,100,11,63.9882,0.0,112,27.5,14524,0.0014463,14300,0.00180907,72,14080,14080,110,110,0,1.8132909090909093
11,12,mMTC,3000,100,12,63.6021,0.0,112,27.5,14524,0.00147946,14300,0.00184465,73,14080,14080,110,110,0,1.849
12,13,mMTC,3000,100,101,64.0332,0.0,112,27.5,14524,0.00146511,14300,0.0023312,74,14080,14080,110,110,0,2.3356909090909093
