ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.47030000000001,0.0,42,27.333333333333332,9156,0.0012233,9072,0.00147469,51,8988,8988,42,42,0,1.4751190476190477
1,2,mMTC,3000,100,2,63.62670000000001,0.0,85,27.67058823529412,8925,0.00122353,8755,0.00146682,125,8585,8585,85,85,0,1.4670705882352941
2,3,mMTC,3000,100,3,64.1317,0.0,33,27.151515151515152,3168,0.00122013,3102,0.00145263,147,3036,3036,33,33,0,1.4528484848484848
3,4,mMTC,3000,100,4,63.7293,0.0,118,27.76271186440678,15340,0.00122712,15104,0.00148631,69,14868,14868,118,118,0,1.486601694915254
4,5,mMTC,3000,100,5,63.9376,0.0,23,26.782608695652176,4876,0.00122267,4830,0.00145974,136,4784,4784,23,23,0,1.4601608695652173
5,6,mMTC,3000,100,6,63.76059999999999,0.0,84,27.67058823529412,17136,0.00123648,16968,0.00149052,42,17000,16800,85,84,0,1.490952380952381
6,7,mMTC,3000,100,7,63.635799999999996,0.0,3,18.666666666666668,732,0.00132619,726,0.00160225,151,720,720,3,3,0,1.60272
7,8,mMTC,3000,100,8,63.8314,0.0,87,27.67816091954023,10005,0.001233,9831,0.00148814,116,9657,9657,87,87,0,1.4883908045977012
8,9,mMTC,3000,100,9,63.6977,0.0,24,26.833333333333332,4680,0.00121309,4632,0.0014926,135,4584,4584,24,24,0,1.4929833333333333
9,10,mMTC,3000,100,10,63.75790000000001,0.0,19,26.526315789473685,3781,0.00123534,3743,0.00147066,140,3705,3705,19,19,0,1.4710631578947369
10,11,mMTC,3000,100,11,63.9882,0.0,57,27.50877192982456,9405,0.00123032,9291,0.00148257,64,9177,9177,57,57,0,1.4829210526315788
11,12,mMTC,3000,100,290,63.6021,0.0,36,27.22222222222222,4500,0.00122698,4428,0.0014718,127,4356,4356,36,36,0,1.4720722222222222
12,13,mMTC,3000,100,291,64.0332,0.0,65,27.56923076923077,11635,0.00122692,11505,0.00148,113,11375,11375,65,65,0,1.480356923076923
13,14,mMTC,3000,100,292,63.946200000000005,0.0,81,27.65432098765432,12231,0.00121772,12069,0.00144624,24,11907,11907,81,81,0,1.4465555555555556
14,15,mMTC,3000,100,293,64.0069,0.0,2,0.0,558,0.00142143,554,0.00184402,150,550,550,2,2,0,1.84455
15,16,mMTC,3000,100,294,63.5421,0.0,38,27.263157894736842,8930,0.00123722,8854,0.00156982,111,8778,8778,38,38,0,1.5702736842105263
16,17,mMTC,3000,100,295,63.415000000000006,0.0,93,27.698924731182796,9579,0.00122557,9393,0.00147145,134,9207,9207,93,93,0,1.4716774193548388
17,18,mMTC,3000,100,296,63.8885,0.0,46,27.391304347826086,10994,0.00121102,10902,0.00146412,33,10810,10810,46,46,0,1.4645826086956522
18,19,mMTC,3000,100,297,63.7324,0.0,28,27.0,6272,0.001225,6216,0.00148775,126,6160,6160,28,28,0,1.4881892857142858
19,20,mMTC,3000,100,298,64.051,0.0,53,27.471698113207548,10547,0.00122264,10441,0.00147036,21,10335,10335,53,53,0,1.4707603773584905
20,21,mMTC,3000,100,299,63.8462,0.0,47,27.404255319148938,5687,0.00122538,5593,0.0014669,132,5499,5499,47,47,0,1.467168085106383
21,22,mMTC,3000,100,300,63.89790000000001,0.0,79,27.645569620253166,10586,0.00122568,10428,0.00147674,97,10270,10270,79,79,0,1.4770379746835445
22,23,mMTC,3000,100,301,64.0655,0.0,34,26.352941176470587,9242,0.0012355,9174,0.00149663,118,9108,9108,33,33,0,1.4971575757575757
23,24,mMTC,3000,100,534,64.0302,0.0,50,27.44,5400,0.00120714,5300,0.00145289,141,5200,5200,50,50,0,1.453136
24,25,mMTC,3000,100,535,63.358,0.0,72,27.61111111111111,15480,0.00120714,15336,0.00145638,15,15192,15192,72,72,0,1.4568055555555555
25,26,mMTC,3000,100,536,63.7811,0.0,60,27.533333333333335,11760,0.00121607,11640,0.00145379,12,11520,11520,60,60,0,1.45418
