ue_id,imsi,class,nominal_rate_bps,actual_rate_bps,rate_sigma,nominal_packet_size,actual_packet_size,start_offset_s,noise_model
0,1,mMTC,3000,2474.11,0.25,100,186,3.77884,lognormal_rate_jitter_v1
1,2,mMTC,3000,3576.34,0.25,100,73,15.6551,lognormal_rate_jitter_v1
2,3,mMTC,3000,3801.73,0.25,100,64,25.11,lognormal_rate_jitter_v1
3,4,mMTC,3000,3926.44,0.25,100,98,5.88826,lognormal_rate_jitter_v1
4,5,mMTC,3000,3457.23,0.25,100,180,19.6524,lognormal_rate_jitter_v1
5,6,mMTC,3000,4476.73,0.25,100,172,3.46873,lognormal_rate_jitter_v1
6,7,mMTC,3000,2347.13,0.25,100,212,27.4191,lognormal_rate_jitter_v1
7,8,mMTC,3000,3702.06,0.25,100,83,13.8846,lognormal_rate_jitter_v1
8,9,mMTC,3000,3119.4,0.25,100,163,19.2645,lognormal_rate_jitter_v1
9,10,mMTC,3000,2967.67,0.25,100,167,20.9468,lognormal_rate_jitter_v1
10,11,mMTC,3000,2530.14,0.25,100,133,5.21158,lognormal_rate_jitter_v1
11,12,mMTC,3000,1999.25,0.25,100,93,16.1231,lognormal_rate_jitter_v1
12,13,mMTC,3000,4687.41,0.25,100,147,13.1174,lognormal_rate_jitter_v1
13,14,mMTC,3000,2829.54,0.25,100,119,2.13179,lognormal_rate_jitter_v1
14,15,mMTC,3000,1948.9,0.25,100,247,26.8573,lognormal_rate_jitter_v1
15,16,mMTC,3000,3629.25,0.25,100,203,12.2545,lognormal_rate_jitter_v1
16,17,mMTC,3000,4934.03,0.25,100,71,18.8126,lognormal_rate_jitter_v1
17,18,mMTC,3000,2829.7,0.25,100,207,2.63056,lognormal_rate_jitter_v1
18,19,mMTC,3000,3202.27,0.25,100,192,15.9959,lognormal_rate_jitter_v1
19,20,mMTC,3000,2553.73,0.25,100,167,1.66917,lognormal_rate_jitter_v1
20,21,mMTC,3000,2947.66,0.25,100,89,18.1891,lognormal_rate_jitter_v1
21,22,mMTC,3000,3234.25,0.25,100,102,9.42843,lognormal_rate_jitter_v1
22,23,mMTC,3000,4317.67,0.25,100,248,14.0594,lognormal_rate_jitter_v1
23,24,mMTC,3000,3684.6,0.25,100,76,21.3081,lognormal_rate_jitter_v1
24,25,mMTC,3000,3723.28,0.25,100,183,0.967316,lognormal_rate_jitter_v1
25,26,mMTC,3000,2748.96,0.25,100,164,0.771407,lognormal_rate_jitter_v1
26,27,mMTC,3000,3677.39,0.25,100,222,10.3409,lognormal_rate_jitter_v1
27,28,mMTC,3000,2718.27,0.25,100,221,6.80169,lognormal_rate_jitter_v1
28,29,mMTC,3000,3671.58,0.25,100,64,20.0768,lognormal_rate_jitter_v1
29,30,mMTC,3000,4213.14,0.25,100,107,3.6366,lognormal_rate_jitter_v1
30,31,mMTC,3000,2181.22,0.25,100,214,4.38225,lognormal_rate_jitter_v1
31,32,mMTC,3000,2845.36,0.25,100,178,9.26666,lognormal_rate_jitter_v1
32,33,mMTC,3000,3898.11,0.25,100,116,12.5461,lognormal_rate_jitter_v1
33,34,mMTC,3000,4258.12,0.25,100,248,7.67787,lognormal_rate_jitter_v1
34,35,mMTC,3000,5267.51,0.25,100,172,18.1668,lognormal_rate_jitter_v1
35,36,mMTC,3000,2138.79,0.25,100,153,17.8578,lognormal_rate_jitter_v1
36,37,mMTC,3000,2769.64,0.25,100,249,10.9317,lognormal_rate_jitter_v1
37,38,mMTC,3000,4631.77,0.25,100,201,18.1964,lognormal_rate_jitter_v1
38,39,mMTC,3000,2088.33,0.25,100,113,0.766634,lognormal_rate_jitter_v1
39,40,mMTC,3000,4755.84,0.25,100,137,22.8152,lognormal_rate_jitter_v1
